Year,circuitIdFrom,circuitIdTo,Car,Plane
1955,13,14,11653,9994
1955,13,19,5520,4045
1955,13,25,12987,9846
1955,13,39,3140,2352
1955,13,58,7578,5758
1955,14,19,6340,5013
1955,14,25,2343,1914
1955,14,39,11899,11274
1955,14,58,8325,6436
1955,19,25,2036,1746
1955,19,39,1363,1289
1955,19,58,4984,4307
1955,25,39,1681,1245
1955,25,58,1486,1109
1955,39,58,12741,10150
1956,6,9,9004,7138
1956,6,13,11031,9722
1956,6,14,2421,1735
1956,6,19,3858,3258
1956,6,20,9892,8454
1956,6,25,8695,6905
1956,6,55,9451,8982
1956,9,13,8590,6488
1956,9,14,5747,5431
1956,9,19,3055,2336
1956,9,20,13022,9724
1956,9,25,1955,1539
1956,9,55,3856,3475
1956,13,14,4732,3881
1956,13,19,10343,8689
1956,13,20,2819,2328
1956,13,25,11446,9863
1956,13,55,9648,8440
1956,14,19,13942,10180
1956,14,20,833,696
1956,14,25,2588,2043
1956,14,55,3737,2812
1956,19,20,7258,5705
1956,19,25,1133,904
1956,19,55,6548,5207
1956,20,25,8603,7102
1956,20,55,5437,4164
1956,25,55,12639,10623
1957,6,14,4365,3455
1957,6,19,13021,11036
1957,6,20,12887,10142
1957,6,25,7461,5354
1957,6,53,9347,8362
1957,6,58,9435,8415
1957,6,65,5956,5172
1957,14,19,5517,4682
1957,14,20,5624,5219
1957,14,25,7727,6139
1957,14,53,13306,10844
1957,14,58,7483,6400
1957,14,65,3640,2871
1957,19,20,13966,11526
1957,19,25,3803,2725
1957,19,53,7926,7390
1957,19,58,8930,8483
1957,19,65,9407,7505
1957,20,25,3249,2851
1957,20,53,2564,2268
1957,20,58,6950,5316
1957,20,65,13044,10901
1957,25,53,13104,11914
1957,25,58,4005,3465
1957,25,65,8532,6747
1957,53,58,12145,9350
1957,53,65,6695,5577
1957,58,65,7133,6241
1958,6,9,4121,3020
1958,6,13,762,618
1958,6,14,6217,5768
1958,6,19,15740,11422
1958,6,20,6176,5391
1958,6,25,3076,2453
1958,6,39,4225,3543
1958,6,55,6433,4686
1958,6,59,2907,2486
1958,6,64,2843,2468
1958,9,13,10205,7576
1958,9,14,2723,2101
1958,9,19,8342,6242
1958,9,20,11994,9924
1958,9,25,4079,2931
1958,9,39,7148,6690
1958,9,55,14234,11346
1958,9,59,13165,11123
1958,9,64,12293,8885
1958,13,14,14098,10729
1958,13,19,4845,3953
1958,13,20,5275,4763
1958,13,25,4173,3471
1958,13,39,9602,7160
1958,13,55,13764,10835
1958,13,59,6607,4825
1958,13,64,3939,3168
1958,14,19,8393,6370
1958,14,20,519,493
1958,14,25,6270,4892
1958,14,39,660,494
1958,14,55,3300,2435
1958,14,59,7232,5572
1958,14,64,9772,9048
1958,19,20,11432,10693
1958,19,25,9817,7053
1958,19,39,1668,1255
1958,19,55,4432,3447
1958,19,59,4558,3816
1958,19,64,11941,9379
1958,20,25,11929,9366
1958,20,39,1890,1504
1958,20,55,12179,10276
1958,20,59,3962,2892
1958,20,64,14276,10360
1958,25,39,5602,4629
1958,25,55,7491,5594
1958,25,59,4925,4261
1958,25,64,11362,8431
1958,39,55,3769,3171
1958,39,59,2244,1787
1958,39,64,11096,10556
1958,55,59,8802,7591
1958,55,64,10169,8181
1958,59,64,1962,1776
1959,6,14,12419,11174
1959,6,19,5631,4616
1959,6,39,14581,11324
1959,6,55,1559,1288
1959,6,58,4116,3232
1959,6,61,14010,11928
1959,6,62,11323,8699
1959,6,63,1311,1051
1959,14,19,16165,11597
1959,14,39,8767,6509
1959,14,55,5366,4782
1959,14,58,9623,7586
1959,14,61,994,924
1959,14,62,1312,1090
1959,14,63,13247,11696
1959,19,39,4731,4210
1959,19,55,2890,2555
1959,19,58,5151,4807
1959,19,61,3297,2761
1959,19,62,7436,6780
1959,19,63,5274,4577
1959,39,55,11614,8797
1959,39,58,15012,11240
1959,39,61,2650,2281
1959,39,62,10232,8341
1959,39,63,7869,7469
1959,55,58,14166,11468
1959,55,61,9779,8535
1959,55,62,10794,9906
1959,55,63,10567,10046
1959,58,61,7074,6442
1959,58,62,4258,3258
1959,58,63,7194,6026
1959,61,62,10608,8581
1959,61,63,14644,10749
1959,62,63,1996,1821
1960,6,9,14261,11524
1960,6,13,875,739
1960,6,14,11044,8944
1960,6,19,13255,9917
1960,6,25,6902,5826
1960,6,39,15135,11535
1960,6,55,7173,6538
1960,6,59,14292,11978
1960,6,60,12665,10950
1960,9,13,5303,4403
1960,9,14,7432,6582
1960,9,19,8118,6051
1960,9,25,7986,5914
1960,9,39,4422,3463
1960,9,55,12042,9480
1960,9,59,4059,3423
1960,9,60,6421,5835
1960,13,14,5267,4830
1960,13,19,12862,9661
1960,13,25,9491,8763
1960,13,39,8789,6993
1960,13,55,12001,9746
1960,13,59,11524,9475
1960,13,60,12677,10189
1960,14,19,8245,7798
1960,14,25,9099,8294
1960,14,39,10478,9154
1960,14,55,5123,4779
1960,14,59,2744,2566
1960,14,60,11033,8646
1960,19,25,332,253
1960,19,39,11101,9740
1960,19,55,3453,2497
1960,19,59,2931,2146
1960,19,60,15333,11889
1960,25,39,1693,1344
1960,25,55,15875,11386
1960,25,59,11571,9016
1960,25,60,463,419
1960,39,55,4859,4431
1960,39,59,1384,1014
1960,39,60,13959,11675
1960,55,59,4681,3701
1960,55,60,8483,6334
1960,59,60,13400,10503
1961,6,13,740,602
1961,6,14,8757,7829
1961,6,20,4096,3328
1961,6,39,4978,4007
1961,6,46,2053,1578
1961,6,55,12169,9660
1961,6,58,945,834
1961,13,14,348,303
1961,13,20,11906,9458
1961,13,39,3231,2427
1961,13,46,6215,5469
1961,13,55,1018,735
1961,13,58,11184,10259
1961,14,20,10551,9867
1961,14,39,5067,4282
1961,14,46,14519,11103
1961,14,55,10398,8889
1961,14,58,13231,11406
1961,20,39,7621,5993
1961,20,46,9507,8606
1961,20,55,7084,5329
1961,20,58,5424,4015
1961,39,46,676,570
1961,39,55,13138,10552
1961,39,58,1688,1264
1961,46,55,4161,3043
1961,46,58,8399,6679
1961,55,58,12184,8852
1962,6,13,3289,2750
1962,6,14,7674,6077
1962,6,20,11136,10469
1962,6,39,8858,7414
1962,6,46,10549,8190
1962,6,53,1219,946
1962,6,56,5014,4465
1962,6,58,12080,10196
1962,13,14,12572,10651
1962,13,20,10803,8574
1962,13,39,7502,6724
1962,13,46,3085,2728
1962,13,53,712,527
1962,13,56,8884,7628
1962,13,58,12512,11705
1962,14,20,1000,732
1962,14,39,11254,9265
1962,14,46,7556,7055
1962,14,53,3471,3009
1962,14,56,13128,9391
1962,14,58,9597,7966
1962,20,39,13349,9757
1962,20,46,1577,1210
1962,20,53,3454,2850
1962,20,56,2402,1981
1962,20,58,6755,5657
1962,39,46,13067,10568
1962,39,53,11829,10114
1962,39,56,7945,6075
1962,39,58,13262,11019
1962,46,53,3414,2841
1962,46,56,8520,7835
1962,46,58,3651,3001
1962,53,56,11548,9115
1962,53,58,5641,4269
1962,56,58,13771,10094
1963,6,9,8993,7987
1963,6,13,5800,4236
1963,6,14,10505,8390
1963,6,20,2706,2427
1963,6,32,1117,1027
1963,6,39,6098,4375
1963,6,46,8891,8180
1963,6,55,990,792
1963,6,56,6632,5180
1963,9,13,1557,1294
1963,9,14,7441,6775
1963,9,20,8305,6017
1963,9,32,3737,2835
1963,9,39,1297,1211
1963,9,46,2723,2271
1963,9,55,8150,6559
1963,9,56,7949,7429
1963,13,14,7377,5426
1963,13,20,2495,2299
1963,13,32,13005,11232
1963,13,39,10610,8918
1963,13,46,1001,938
1963,13,55,11797,9658
1963,13,56,13900,11168
1963,14,20,5468,4499
1963,14,32,5039,4029
1963,14,39,7159,5524
1963,14,46,880,684
1963,14,55,10112,7446
1963,14,56,6182,4921
1963,20,32,15144,11519
1963,20,39,13762,10492
1963,20,46,6412,5020
1963,20,55,5137,3727
1963,20,56,3606,2842
1963,32,39,10574,10049
1963,32,46,10450,8327
1963,32,55,992,940
1963,32,56,13149,9781
1963,39,46,11263,8377
1963,39,55,3242,2911
1963,39,56,2812,2087
1963,46,55,2157,1938
1963,46,56,5563,4307
1963,55,56,11991,11271
1964,6,13,13807,10059
1964,6,14,8296,6714
1964,6,20,2888,2685
1964,6,32,15474,11778
1964,6,38,12197,9678
1964,6,39,6901,5171
1964,6,46,12808,9896
1964,6,53,10522,8016
1964,6,57,3227,2312
1964,13,14,8039,5930
1964,13,20,793,632
1964,13,32,9336,7549
1964,13,38,9821,7767
1964,13,39,2309,1859
1964,13,46,5754,4897
1964,13,53,12911,10955
1964,13,57,9145,8358
1964,14,20,12595,10854
1964,14,32,2135,1591
1964,14,38,9004,7647
1964,14,39,4596,4060
1964,14,46,11260,10191
1964,14,53,11199,9810
1964,14,57,762,571
1964,20,32,12995,9611
1964,20,38,12367,9503
1964,20,39,10290,8240
1964,20,46,15039,11357
1964,20,53,3048,2497
1964,20,57,10768,7913
1964,32,38,9705,8283
1964,32,39,6132,4750
1964,32,46,5747,5316
1964,32,53,3262,2446
1964,32,57,5031,3901
1964,38,39,10898,8820
1964,38,46,7364,6997
1964,38,53,5154,4403
1964,38,57,16367,11868
1964,39,46,9823,7383
1964,39,53,9130,8282
1964,39,57,12930,11139
1964,46,53,14265,10194
1964,46,57,6493,5664
1964,53,57,3625,3420
1965,6,9,16197,11624
1965,6,13,5181,3996
1965,6,14,4642,4379
1965,6,20,10757,9704
1965,6,32,4218,3954
1965,6,39,10745,9654
1965,6,46,9997,7884
1965,6,51,1235,942
1965,6,56,4608,3900
1965,9,13,12573,9465
1965,9,14,3636,2929
1965,9,20,5620,4058
1965,9,32,15481,11201
1965,9,39,12256,10457
1965,9,46,9107,7429
1965,9,51,1094,1030
1965,9,56,329,290
1965,13,14,9720,8721
1965,13,20,10600,8570
1965,13,32,2303,1807
1965,13,39,11001,8831
1965,13,46,8586,6263
1965,13,51,13089,10280
1965,13,56,6529,5800
1965,14,20,11240,10578
1965,14,32,15431,11072
1965,14,39,7172,6050
1965,14,46,12279,9396
1965,14,51,6816,5544
1965,14,56,4900,3927
1965,20,32,4156,3549
1965,20,39,5317,3852
1965,20,46,5392,4896
1965,20,51,7806,6421
1965,20,56,918,761
1965,32,39,6830,5787
1965,32,46,476,358
1965,32,51,5222,4954
1965,32,56,8466,7523
1965,39,46,6667,4904
1965,39,51,6484,5289
1965,39,56,7212,5774
1965,46,51,1981,1623
1965,46,56,1616,1458
1965,51,56,726,648
1966,6,13,12652,9876
1966,6,14,6529,5042
1966,6,20,1216,946
1966,6,32,14988,10953
1966,6,38,7734,6577
1966,6,39,4352,3483
1966,6,46,11286,8655
1966,6,55,11084,9582
1966,13,14,2775,2115
1966,13,20,6420,4759
1966,13,32,12857,11977
1966,13,38,5174,4588
1966,13,39,6304,5961
1966,13,46,12533,11447
1966,13,55,13205,11217
1966,14,20,4376,3816
1966,14,32,7551,5472
1966,14,38,13945,10709
1966,14,39,10982,9283
1966,14,46,11336,9214
1966,14,55,11738,10312
1966,20,32,5902,4316
1966,20,38,11705,9437
1966,20,39,11917,9561
1966,20,46,4668,3928
1966,20,55,11690,9343
1966,32,38,5514,3983
1966,32,39,16473,11845
1966,32,46,4797,4396
1966,32,55,14235,11316
1966,38,39,11684,8988
1966,38,46,5872,4891
1966,38,55,588,503
1966,39,46,5058,4531
1966,39,55,9411,7052
1966,46,55,9969,8123
1967,6,9,14443,11998
1967,6,13,3128,2238
1967,6,14,10030,7291
1967,6,20,3592,2747
1967,6,30,4862,4273
1967,6,32,4664,3976
1967,6,39,1155,893
1967,6,46,2501,2308
1967,6,48,1724,1479
1967,6,54,11664,9409
1967,9,13,8922,6572
1967,9,14,5821,4479
1967,9,20,11916,10407
1967,9,30,4572,4164
1967,9,32,3844,3118
1967,9,39,861,816
1967,9,46,9688,7721
1967,9,48,5993,4406
1967,9,54,10103,9026
1967,13,14,14405,10505
1967,13,20,12312,11499
1967,13,30,4066,3371
1967,13,32,13378,10207
1967,13,39,14463,10333
1967,13,46,4557,3948
1967,13,48,10685,9629
1967,13,54,11210,10254
1967,14,20,6212,5413
1967,14,30,8456,6287
1967,14,32,12231,8993
1967,14,39,5049,3870
1967,14,46,2125,1826
1967,14,48,1673,1542
1967,14,54,994,915
1967,20,30,12497,9667
1967,20,32,9966,8329
1967,20,39,10842,10013
1967,20,46,494,379
1967,20,48,8234,7182
1967,20,54,2147,1625
1967,30,32,1830,1719
1967,30,39,422,343
1967,30,46,2501,2018
1967,30,48,11979,10789
1967,30,54,4635,4169
1967,32,39,10300,8034
1967,32,46,426,389
1967,32,48,11931,9249
1967,32,54,12859,11314
1967,39,46,1205,1035
1967,39,48,11986,11098
1967,39,54,10618,7874
1967,46,48,12113,9404
1967,46,54,13357,11184
1967,48,54,5102,4107
1968,6,13,11889,10403
1968,6,14,3387,3012
1968,6,20,11034,9496
1968,6,30,9920,7646
1968,6,32,8962,7343
1968,6,38,8579,6698
1968,6,39,11842,9800
1968,6,45,9102,8421
1968,6,46,15711,11774
1968,6,52,13660,11182
1968,6,53,3265,2860
1968,13,14,9977,7824
1968,13,20,4885,4506
1968,13,30,1932,1727
1968,13,32,4530,3373
1968,13,38,6579,5425
1968,13,39,2077,1819
1968,13,45,9288,6995
1968,13,46,14135,10697
1968,13,52,6371,4928
1968,13,53,2535,2216
1968,14,20,9415,7725
1968,14,30,4840,3882
1968,14,32,5667,4188
1968,14,38,12741,11743
1968,14,39,10113,9074
1968,14,45,2612,2419
1968,14,46,6077,4571
1968,14,52,9911,7272
1968,14,53,10665,9605
1968,20,30,14148,10432
1968,20,32,5086,4034
1968,20,38,11841,10783
1968,20,39,9091,7378
1968,20,45,7131,5443
1968,20,46,6372,4987
1968,20,52,13464,9995
1968,20,53,3800,3014
1968,30,32,10901,9794
1968,30,38,3108,2313
1968,30,39,2282,1991
1968,30,45,10039,9312
1968,30,46,7461,5508
1968,30,52,4581,3936
1968,30,53,13726,10919
1968,32,38,8005,5859
1968,32,39,294,257
1968,32,45,2805,2447
1968,32,46,8495,6792
1968,32,52,13531,10706
1968,32,53,11252,8442
1968,38,39,5577,4665
1968,38,45,9645,7034
1968,38,46,3643,3427
1968,38,52,10858,9209
1968,38,53,2403,1721
1968,39,45,14460,10860
1968,39,46,2786,2645
1968,39,52,5694,4531
1968,39,53,6001,5078
1968,45,46,6637,5755
1968,45,52,6345,4710
1968,45,53,5006,3944
1968,46,52,5273,4197
1968,46,53,3532,2814
1968,52,53,11372,10046
1969,6,9,12407,11548
1969,6,14,5782,5060
1969,6,20,12564,9628
1969,6,30,14271,11424
1969,6,32,6438,5114
1969,6,39,10130,8678
1969,6,46,11558,8960
1969,6,48,14796,11768
1969,6,49,9683,7746
1969,6,51,713,577
1969,9,14,9923,8566
1969,9,20,6451,5672
1969,9,30,7857,6170
1969,9,32,10299,8479
1969,9,39,7454,6661
1969,9,46,15925,11768
1969,9,48,13775,10441
1969,9,49,9621,7390
1969,9,51,10097,7854
1969,14,20,3059,2854
1969,14,30,13079,11846
1969,14,32,2094,1681
1969,14,39,13189,10388
1969,14,46,14974,11835
1969,14,48,2432,1773
1969,14,49,10687,9513
1969,14,51,11801,9528
1969,20,30,8177,6264
1969,20,32,10604,9736
1969,20,39,12732,10621
1969,20,46,12124,9457
1969,20,48,4371,3707
1969,20,49,946,749
1969,20,51,8312,6943
1969,30,32,908,650
1969,30,39,12058,9566
1969,30,46,11977,11271
1969,30,48,9842,7339
1969,30,49,5832,4918
1969,30,51,11322,9220
1969,32,39,1563,1294
1969,32,46,13378,10267
1969,32,48,14268,10962
1969,32,49,1086,799
1969,32,51,1221,938
1969,39,46,11089,8254
1969,39,48,7471,6729
1969,39,49,5685,5144
1969,39,51,10296,9327
1969,46,48,12112,9945
1969,46,49,11705,10113
1969,46,51,3428,2454
1969,48,49,6176,5147
1969,48,51,10025,7406
1969,49,51,3031,2654
1970,6,10,6829,6348
1970,6,13,4562,4155
1970,6,14,12642,10211
1970,6,30,675,536
1970,6,32,12587,11295
1970,6,38,9357,7664
1970,6,39,10165,7312
1970,6,45,5752,4535
1970,6,46,1899,1666
1970,6,51,2384,2046
1970,6,52,14071,11164
1970,6,70,11760,10110
1970,10,13,2526,2232
1970,10,14,8748,8195
1970,10,30,6597,4923
1970,10,32,14613,11083
1970,10,38,1276,962
1970,10,39,11146,10039
1970,10,45,5317,4648
1970,10,46,1895,1483
1970,10,51,12614,9373
1970,10,52,14935,10943
1970,10,70,8044,6901
1970,13,14,10291,9775
1970,13,30,8092,5807
1970,13,32,8143,6887
1970,13,38,5328,3830
1970,13,39,12084,9043
1970,13,45,13282,11456
1970,13,46,13493,11239
1970,13,51,10253,8639
1970,13,52,1773,1469
1970,13,70,5247,4424
1970,14,30,4903,3944
1970,14,32,15077,10950
1970,14,38,3590,2829
1970,14,39,11799,9681
1970,14,45,1231,1066
1970,14,46,1388,1187
1970,14,51,6636,5391
1970,14,52,2237,2126
1970,14,70,15675,11384
1970,30,32,9103,7070
1970,30,38,7681,6883
1970,30,39,3856,3594
1970,30,45,1707,1547
1970,30,46,10649,8804
1970,30,51,10468,7783
1970,30,52,12644,10438
1970,30,70,10843,8266
1970,32,38,1156,973
1970,32,39,12098,8747
1970,32,45,2488,1818
1970,32,46,4463,3463
1970,32,51,6488,5273
1970,32,52,8773,6797
1970,32,70,5904,5068
1970,38,39,2884,2305
1970,38,45,1666,1554
1970,38,46,12247,10940
1970,38,51,8058,7650
1970,38,52,5409,4909
1970,38,70,8380,6992
1970,39,45,4118,3153
1970,39,46,2287,2177
1970,39,51,10068,7626
1970,39,52,532,391
1970,39,70,2709,2135
1970,45,46,3238,2322
1970,45,51,9944,9092
1970,45,52,1870,1633
1970,45,70,10874,9873
1970,46,51,12200,10020
1970,46,52,14092,10855
1970,46,70,7544,6553
1970,51,52,9880,7801
1970,51,70,14134,11317
1970,52,70,727,565
1971,6,9,5996,4463
1971,6,14,9713,7605
1971,6,20,841,680
1971,6,30,11506,10957
1971,6,34,10723,9679
1971,6,39,1613,1450
1971,6,46,2566,1954
1971,6,48,8714,7310
1971,6,49,7002,6360
1971,6,70,11039,8029
1971,9,14,11623,8555
1971,9,20,13158,10051
1971,9,30,2279,1746
1971,9,34,1180,857
1971,9,39,12736,10581
1971,9,46,605,434
1971,9,48,6118,4678
1971,9,49,10813,8209
1971,9,70,1186,870
1971,14,20,6908,5874
1971,14,30,5411,4104
1971,14,34,8105,6969
1971,14,39,1560,1314
1971,14,46,2166,1851
1971,14,48,15219,11492
1971,14,49,11369,9799
1971,14,70,11621,10996
1971,20,30,2560,2214
1971,20,34,12293,10266
1971,20,39,3094,2374
1971,20,46,5860,4459
1971,20,48,11187,8236
1971,20,49,12627,11486
1971,20,70,10149,8380
1971,30,34,8260,7850
1971,30,39,11267,8426
1971,30,46,6376,5705
1971,30,48,1983,1611
1971,30,49,7486,6477
1971,30,70,9509,8067
1971,34,39,9216,7930
1971,34,46,7815,6348
1971,34,48,13050,11863
1971,34,49,8626,7948
1971,34,70,9817,8185
1971,39,46,649,466
1971,39,48,13901,10473
1971,39,49,10692,10171
1971,39,70,7317,5616
1971,46,48,9811,8632
1971,46,49,14195,11909
1971,46,70,3697,3107
1971,48,49,10560,9606
1971,48,70,2637,2267
1971,49,70,12893,10252
1972,6,14,9853,8041
1972,6,20,11354,8579
1972,6,25,507,424
1972,6,30,2792,2341
1972,6,38,10965,8976
1972,6,45,6995,5547
1972,6,46,6929,6368
1972,6,48,1730,1633
1972,6,50,13726,10660
1972,6,51,12165,11341
1972,6,70,3917,3398
1972,14,20,8652,7727
1972,14,25,2911,2156
1972,14,30,14732,10941
1972,14,38,15211,11216
1972,14,45,5299,4281
1972,14,46,10864,8380
1972,14,48,6592,5207
1972,14,50,11291,9069
1972,14,51,8234,6156
1972,14,70,13579,11814
1972,20,25,6004,4498
1972,20,30,11501,10952
1972,20,38,3062,2901
1972,20,45,760,695
1972,20,46,9306,8031
1972,20,48,7039,5501
1972,20,50,2474,2255
1972,20,51,11315,10498
1972,20,70,4787,3566
1972,25,30,2494,2140
1972,25,38,4698,3851
1972,25,45,13124,11752
1972,25,46,4763,3417
1972,25,48,2931,2740
1972,25,50,2599,2068
1972,25,51,7785,6907
1972,25,70,3606,3209
1972,30,38,13280,9896
1972,30,45,14913,11904
1972,30,46,6534,5632
1972,30,48,10861,8121
1972,30,50,8082,7334
1972,30,51,8602,7286
1972,30,70,2209,2034
1972,38,45,11896,9768
1972,38,46,577,483
1972,38,48,10847,9295
1972,38,50,709,659
1972,38,51,10461,8318
1972,38,70,670,613
1972,45,46,6282,4975
1972,45,48,1240,980
1972,45,50,1323,1212
1972,45,51,7415,6456
1972,45,70,12008,8982
1972,46,48,12840,10632
1972,46,50,11943,9141
1972,46,51,7849,6642
1972,46,70,10201,8957
1972,48,50,7451,6678
1972,48,51,10401,7749
1972,48,70,6682,5946
1972,50,51,10606,8327
1972,50,70,1043,902
1972,51,70,5321,4043
1973,6,9,12338,9112
1973,6,14,4996,3620
1973,6,18,8728,6579
1973,6,20,13493,10278
1973,6,25,5547,4354
1973,6,30,6639,5860
1973,6,34,1966,1758
1973,6,39,11463,10357
1973,6,40,4292,3085
1973,6,46,3801,3250
1973,6,47,9372,7619
1973,6,48,15269,11323
1973,6,49,1183,946
1973,6,70,418,300
1973,9,14,3183,2770
1973,9,18,7588,6009
1973,9,20,3936,3658
1973,9,25,7198,5286
1973,9,30,9992,7654
1973,9,34,13384,11817
1973,9,39,12247,9468
1973,9,40,5942,4852
1973,9,46,6732,4834
1973,9,47,7683,6556
1973,9,48,5277,4729
1973,9,49,5395,4043
1973,9,70,667,544
1973,14,18,7266,5875
1973,14,20,3664,3029
1973,14,25,14080,10881
1973,14,30,930,722
1973,14,34,14141,11305
1973,14,39,6520,5060
1973,14,40,10360,8792
1973,14,46,5666,4807
1973,14,47,2837,2690
1973,14,48,3246,2708
1973,14,49,14475,10449
1973,14,70,12620,11553
1973,18,20,6614,5526
1973,18,25,12699,10374
1973,18,30,2318,2084
1973,18,34,8326,6616
1973,18,39,15151,11532
1973,18,40,11008,9546
1973,18,46,12572,9754
1973,18,47,4722,4365
1973,18,48,7992,5742
1973,18,49,9114,7208
1973,18,70,2240,1734
1973,20,25,14197,11766
1973,20,30,8411,6172
1973,20,34,13131,11908
1973,20,39,3409,3119
1973,20,40,7927,7378
1973,20,46,8695,6283
1973,20,47,8837,6983
1973,20,48,4540,3614
1973,20,49,9339,6709
1973,20,70,2918,2085
1973,25,30,11723,10853
1973,25,34,8360,6225
1973,25,39,8045,7189
1973,25,40,5483,4874
1973,25,46,6361,5294
1973,25,47,6916,6581
1973,25,48,3566,2870
1973,25,49,4767,3853
1973,25,70,4507,4072
1973,30,34,1655,1214
1973,30,39,9319,7398
1973,30,40,2715,2255
1973,30,46,5906,4917
1973,30,47,383,321
1973,30,48,3912,3274
1973,30,49,5134,4336
1973,30,70,2800,2406
1973,34,39,11520,9068
1973,34,40,4476,4219
1973,34,46,11318,9218
1973,34,47,9645,7245
1973,34,48,7979,7410
1973,34,49,4862,4479
1973,34,70,2277,1783
1973,39,40,1424,1062
1973,39,46,8809,7138
1973,39,47,3624,2928
1973,39,48,4510,3651
1973,39,49,2292,2083
1973,39,70,10958,7834
1973,40,46,7606,5655
1973,40,47,13338,10231
1973,40,48,4740,3742
1973,40,49,12867,11152
1973,40,70,10019,8062
1973,46,47,13066,10304
1973,46,48,1248,1054
1973,46,49,735,654
1973,46,70,12001,9357
1973,47,48,7255,6327
1973,47,49,6065,5645
1973,47,70,3220,3025
1973,48,49,2313,1812
1973,48,70,14760,11500
1973,49,70,9391,7870
1974,6,14,3951,3209
1974,6,18,2551,2226
1974,6,20,14349,10818
1974,6,25,8352,7839
1974,6,30,6783,5194
